Sender City,Receiving IP,Forwarding IP,Sender Timestamp,Receiver Timestamp,Forwarding Timestamp,Latency (ms),Processing Delay (ms),Dropped Packets,Filtered Packets
city4,192.168.1.11,192.168.1.6,1747938009800,1747938010129,1747938010135,329,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009802,1747938010136,1747938010142,334,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009804,1747938010142,1747938010149,338,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009806,1747938010150,1747938010156,344,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009808,1747938010156,1747938010162,348,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009810,1747938010162,1747938010169,352,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009813,1747938010170,1747938010176,357,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009815,1747938010176,1747938010183,361,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009817,1747938010183,1747938010190,366,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009819,1747938010190,1747938010196,371,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009821,1747938010196,1747938010202,375,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009823,1747938010203,1747938010210,380,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009825,1747938010210,1747938010216,385,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009827,1747938010216,1747938010223,389,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009829,1747938010224,1747938010230,395,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009832,1747938010230,1747938010236,398,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009834,1747938010237,1747938010243,403,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009836,1747938010243,1747938010250,407,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009838,1747938010250,1747938010257,412,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009840,1747938010257,1747938010264,417,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009842,1747938010265,1747938010271,423,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009844,1747938010272,1747938010279,428,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009847,1747938010279,1747938010286,432,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009849,1747938010287,1747938010293,438,6,0,0
city4,192.168.1.11,192.168.1.6,1747938009851,1747938010294,1747938010301,443,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009853,1747938010301,1747938010309,448,8,0,0
city4,192.168.1.11,192.168.1.6,1747938009855,1747938010309,1747938010316,454,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009857,1747938010316,1747938010323,459,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009859,1747938010324,1747938010331,465,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009861,1747938010331,1747938010338,470,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009864,1747938010339,1747938010346,475,7,0,0
city4,192.168.1.11,192.168.1.6,1747938009866,1747938010347,1747938010354,481,7,0,0
