Sender City,Receiving IP,Forwarding IP,Sender Timestamp,Receiver Timestamp,Forwarding Timestamp,Latency (ms),Processing Delay (ms),Dropped Packets,Filtered Packets
city3,192.168.1.7,192.168.1.6,1747938009659,1747938009663,1747938009668,4,5,0,0
city3,192.168.1.7,192.168.1.6,1747938009661,1747938009669,1747938009670,8,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009663,1747938009677,1747938009679,14,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009665,1747938009682,1747938009684,17,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009667,1747938009685,1747938009686,18,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009669,1747938009687,1747938009689,18,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009672,1747938009689,1747938009692,17,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009674,1747938009693,1747938009694,19,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009676,1747938009695,1747938009696,19,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009678,1747938009697,1747938009699,19,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009680,1747938009717,1747938009719,37,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009682,1747938009728,1747938009730,46,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009684,1747938009730,1747938009732,46,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009686,1747938009733,1747938009735,47,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009688,1747938009735,1747938009737,47,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009690,1747938009737,1747938009739,47,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009692,1747938009740,1747938009742,48,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009695,1747938009742,1747938009744,47,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009697,1747938009744,1747938009745,47,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009699,1747938009745,1747938009748,46,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009701,1747938009748,1747938009749,47,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009703,1747938009749,1747938009751,46,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009705,1747938009751,1747938009753,46,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009707,1747938009753,1747938009754,46,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009709,1747938009754,1747938009756,45,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009711,1747938009756,1747938009757,45,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009713,1747938009758,1747938009760,45,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009715,1747938009760,1747938009762,45,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009718,1747938009762,1747938009764,44,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009720,1747938009764,1747938009765,44,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009722,1747938009765,1747938009766,43,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009724,1747938009767,1747938009768,43,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009726,1747938009768,1747938009770,42,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009728,1747938009770,1747938009772,42,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009730,1747938009772,1747938009774,42,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009732,1747938009774,1747938009777,42,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009734,1747938009777,1747938009779,43,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009737,1747938009779,1747938009780,42,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009739,1747938009780,1747938009783,41,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009741,1747938009783,1747938009785,42,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009743,1747938009785,1747938009788,42,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009745,1747938009788,1747938009790,43,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009747,1747938009791,1747938009792,44,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009749,1747938009793,1747938009795,44,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009751,1747938009795,1747938009796,44,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009753,1747938009797,1747938009798,44,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009755,1747938009798,1747938009800,43,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009757,1747938009818,1747938009820,61,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009760,1747938009820,1747938009823,60,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009762,1747938009823,1747938009825,61,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009764,1747938009825,1747938009827,61,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009766,1747938009827,1747938009829,61,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009768,1747938009829,1747938009831,61,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009770,1747938009831,1747938009832,61,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009772,1747938009832,1747938009834,60,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009774,1747938009835,1747938009836,61,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009776,1747938009836,1747938009837,60,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009779,1747938009837,1747938009840,58,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009781,1747938009840,1747938009843,59,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009783,1747938009843,1747938009844,60,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009785,1747938009844,1747938009847,59,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009787,1747938009847,1747938009850,60,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009789,1747938009850,1747938009853,61,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009791,1747938009853,1747938009856,62,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009794,1747938009856,1747938009859,62,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009796,1747938009865,1747938009867,69,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009798,1747938009868,1747938009870,70,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009800,1747938009870,1747938009873,70,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009802,1747938009874,1747938009876,72,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009804,1747938009877,1747938009880,73,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009806,1747938009880,1747938009883,74,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009808,1747938009883,1747938009886,75,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009810,1747938009887,1747938009890,77,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009813,1747938009890,1747938009893,77,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009815,1747938009893,1747938009896,78,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009817,1747938009896,1747938009899,79,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009819,1747938009899,1747938009903,80,4,0,0
city3,192.168.1.7,192.168.1.6,1747938009821,1747938009903,1747938009906,82,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009823,1747938009906,1747938009909,83,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009825,1747938009909,1747938009912,84,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009827,1747938009912,1747938009914,85,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009829,1747938009915,1747938009918,86,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009832,1747938009918,1747938009921,86,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009834,1747938009922,1747938009924,88,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009836,1747938009925,1747938009928,89,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009838,1747938009929,1747938009931,91,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009840,1747938009931,1747938009935,91,4,0,0
city3,192.168.1.7,192.168.1.6,1747938009842,1747938009935,1747938009937,93,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009844,1747938009938,1747938009941,94,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009846,1747938009941,1747938009944,95,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009849,1747938009944,1747938009946,95,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009851,1747938009946,1747938009948,95,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009853,1747938009948,1747938009950,95,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009855,1747938009950,1747938009953,95,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009857,1747938009963,1747938009965,106,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009859,1747938009966,1747938009968,107,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009861,1747938009968,1747938009971,107,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009864,1747938009971,1747938009973,107,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009866,1747938009973,1747938009976,107,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009868,1747938009976,1747938009978,108,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009870,1747938009978,1747938009979,108,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009872,1747938009980,1747938009981,108,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009874,1747938009982,1747938009984,108,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009876,1747938010032,1747938010035,156,3,0,0
city3,192.168.1.7,192.168.1.6,1747938009879,1747938010035,1747938010037,156,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009881,1747938010037,1747938010039,156,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009883,1747938010040,1747938010041,157,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009885,1747938010041,1747938010042,156,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009887,1747938010042,1747938010043,155,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009889,1747938010044,1747938010044,155,0,0,0
city3,192.168.1.7,192.168.1.6,1747938009891,1747938010044,1747938010045,153,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009893,1747938010045,1747938010046,152,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009896,1747938010047,1747938010048,151,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009898,1747938010049,1747938010051,151,2,0,0
city3,192.168.1.7,192.168.1.6,1747938009900,1747938010051,1747938010052,151,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009902,1747938010052,1747938010053,150,1,0,0
city3,192.168.1.7,192.168.1.6,1747938009904,1747938010053,1747938010053,149,0,0,0
